tagID;animalID;calvingdate;24hoursallowancesup1;24hoursallowancesup2;accumulatedallowancesup1;accumulatedallowancesup2;visitswithin24hours1;visitswithin24hours2;totalvisits1;totalvisits2
208_002903502400;;2018-11-09;100;100;553;0;3;0;17;0
208_002903502245;;2018-11-15;100;100;700;0;0;0;0;0
208_002903502855;;2018-11-17;100;100;490;0;7;0;18;0
208_002903502860;;2018-11-23;100;100;567;0;8;0;15;0
208_002903502821;;2018-11-25;100;100;532;0;0;0;8;0
208_002903502857;;2018-11-26;100;100;602;0;2;0;14;0
208_002903502528;;2018-12-01;100;100;700;0;0;0;0;0
208_002903502551;;2018-12-04;100;100;700;0;0;0;0;0
208_002903502617;;2018-12-06;100;100;518;0;8;0;22;0
208_002903502729;;2018-12-14;100;100;287;0;6;0;27;0
208_002903502560;;2018-12-21;100;100;560;0;7;0;16;0
208_002903502738;;2018-12-24;100;100;700;0;0;0;0;0
208_002903502492;;2018-12-26;100;100;644;0;5;0;8;0
208_002903502624;;2018-12-30;100;100;532;0;4;0;20;0
208_002903502241;;2019-01-01;100;100;700;0;0;0;0;0
208_002903502610;;2019-01-03;100;100;630;0;0;0;10;0
208_002903502644;;2019-01-09;100;100;658;0;1;0;2;0
208_002903502270;;2019-01-12;100;100;700;0;0;0;0;0
208_002903502722;;2019-01-17;100;100;511;0;4;0;15;0
208_002903502864;;2019-01-18;100;100;651;0;0;0;7;0
208_002903502661;;2019-01-20;100;100;518;0;4;0;18;0
208_002903502750;;2019-01-26;100;100;700;0;0;0;0;0
208_002903502602;;2019-01-30;100;100;446;0;0;0;0;0
208_002903502869;;2019-01-30;100;100;446;0;0;0;0;0
208_002903502834;;2019-02-01;100;100;246;0;0;0;0;0
208_002903503000;;2019-02-09;100;100;0;554;0;0;0;0
208_002903502604;;2019-02-24;100;100;0;700;0;0;0;0
208_002903502886;;2019-03-08;100;100;0;0;0;0;0;0
208_002903502424;;2019-03-23;100;100;0;0;0;0;0;0
208_002903502436;;2019-03-27;100;100;0;0;0;0;0;0
208_002903502896;;2019-03-28;100;100;0;0;0;0;0;0
208_002903502895;;2019-04-06;100;100;0;0;0;0;0;0
208_002903502883;;2019-04-08;100;100;0;0;0;0;0;0
208_002903502073;;2019-04-10;100;100;0;0;0;0;0;0
208_002903502887;;2019-04-21;100;100;0;0;0;0;0;0
208_002903502576;;2019-04-23;100;100;0;0;0;0;0;0
208_002903502691;;2019-04-25;100;100;0;0;0;0;0;0
