tagID;animalID;calvingdate;24hoursallowancesup1;24hoursallowancesup2;accumulatedallowancesup1;accumulatedallowancesup2;visitswithin24hours1;visitswithin24hours2;totalvisits1;totalvisits2
208_099999900884;Åse;42806;120;90;480;360;0;0;0;0
208_099999901234;DK5952300456;42865;120;90;480;360;0;0;0;0
898;DK5952309456;42852;100;90;400;360;0;0;0;0
208_099999900831;DK5952300976;42814;120;90;480;360;0;0;0;0
208_099999900883;Søs;42824;120;90;480;360;0;0;0;0
208_099999900882;DK5952304287;42829;120;90;480;360;0;0;0;0
208_099999900881;DK5952305532;42837;120;90;480;360;0;0;0;0
208_099999900878;DK5952309767;42843;120;90;480;360;0;0;0;0
208_099999900879;DK5952307734;42845;120;0;480;0;0;0;0;0
208_099999900877;DK5952303985;42847;120;0;480;0;0;0;0;0
208_099999900874;DK5952304567;42851;120;90;480;360;0;0;0;0
208_099999900875;DK5952309767;42854;120;90;480;360;0;0;0;0
208_099999900873;Rosa;42856;120;90;328;255;4;5;4;5
208_099999900001;Emma;42859;120;90;328;255;4;5;4;5
